Sp1	Sp2	obs.C-score	exp.C-score	SES_Cscore	pval_less	pval_greater
OTU_2	OTU_43	0	0	NA	1	1
OTU_2	OTU_44	0	0	NA	1	1
OTU_2	OTU_45	0	0	NA	1	1
OTU_2	OTU_46	0	0	NA	1	1
OTU_2	OTU_47	0	0	NA	1	1
OTU_2	OTU_48	0	0	NA	1	1
OTU_2	OTU_49	0	0	NA	1	1
OTU_2	OTU_50	0	0	NA	1	1
OTU_2	OTU_51	0	0	NA	1	1
OTU_2	OTU_52	0	0	NA	1	1
OTU_2	OTU_53	0	0	NA	1	1
OTU_2	OTU_54	0	0	NA	1	1
OTU_2	OTU_55	0	0	NA	1	1
OTU_2	OTU_56	0	0	NA	1	1
OTU_2	OTU_57	0	0	NA	1	1
OTU_2	OTU_58	0	0	NA	1	1
OTU_2	OTU_59	0	0	NA	1	1
OTU_2	OTU_60	0	0	NA	1	1
OTU_2	OTU_61	0	0	NA	1	1
OTU_2	OTU_62	0	0	NA	1	1
OTU_2	OTU_63	0	0	NA	1	1
OTU_2	OTU_64	0	0	NA	1	1
OTU_2	OTU_65	0	0	NA	1	1
OTU_2	OTU_66	0	0	NA	1	1
OTU_2	OTU_67	0	0	NA	1	1
OTU_2	OTU_68	0	0	NA	1	1
OTU_2	OTU_69	0	0	NA	1	1
OTU_2	OTU_70	0	0	NA	1	1
OTU_2	OTU_71	0	0	NA	1	1
OTU_2	OTU_72	0	0	NA	1	1
OTU_2	OTU_73	0	0	NA	1	1
OTU_2	OTU_74	0	0	NA	1	1
OTU_2	OTU_75	0	0	NA	1	1
OTU_2	OTU_76	0	0	NA	1	1
OTU_2	OTU_77	0	0	NA	1	1
OTU_2	OTU_78	0	0	NA	1	1
OTU_2	OTU_79	0	0	NA	1	1
OTU_2	OTU_80	0	0	NA	1	1
OTU_2	OTU_81	0	0	NA	1	1
OTU_2	OTU_82	0	0	NA	1	1
OTU_2	OTU_83	0	0	NA	1	1
OTU_2	OTU_84	0	0	NA	1	1
OTU_2	OTU_85	0	0	NA	1	1
OTU_2	OTU_86	0	0	NA	1	1
OTU_2	OTU_87	0	0	NA	1	1
OTU_2	OTU_88	0	0	NA	1	1
OTU_2	OTU_89	0	0	NA	1	1
OTU_2	OTU_90	0	0	NA	1	1
OTU_2	OTU_91	0	0	NA	1	1
OTU_2	OTU_92	0	0	NA	1	1
OTU_2	OTU_93	0	0	NA	1	1
OTU_2	OTU_94	0	0	NA	1	1
OTU_2	OTU_95	0	0	NA	1	1
OTU_2	OTU_96	0	0	NA	1	1
OTU_2	OTU_97	0	0	NA	1	1
OTU_2	OTU_98	0	0	NA	1	1
OTU_2	OTU_99	0	0	NA	1	1
OTU_2	OTU_100	0	0	NA	1	1
OTU_2	OTU_101	0	0	NA	1	1
OTU_2	OTU_102	0	0	NA	1	1
OTU_2	OTU_103	0	0	NA	1	1
OTU_2	OTU_104	0	0	NA	1	1
OTU_2	OTU_105	0	0	NA	1	1
OTU_2	OTU_106	0	0	NA	1	1
OTU_2	OTU_107	0	0	NA	1	1
OTU_2	OTU_108	0	0	NA	1	1
OTU_2	OTU_109	0	0	NA	1	1
OTU_2	OTU_110	0	0	NA	1	1
OTU_2	OTU_111	0	0	NA	1	1
OTU_2	OTU_112	0	0	NA	1	1
OTU_2	OTU_113	0	0	NA	1	1
OTU_2	OTU_114	0	0	NA	1	1
OTU_2	OTU_115	0	0	NA	1	1
OTU_2	OTU_116	0	0	NA	1	1
OTU_2	OTU_117	0	0	NA	1	1
OTU_2	OTU_118	0	0	NA	1	1
OTU_2	OTU_119	0	0	NA	1	1
OTU_2	OTU_120	0	0	NA	1	1
OTU_2	OTU_121	0	0	NA	1	1
OTU_2	OTU_122	0	0	NA	1	1
OTU_2	OTU_123	0	0	NA	1	1
OTU_2	OTU_124	0	0	NA	1	1
OTU_2	OTU_125	0	0	NA	1	1
OTU_2	OTU_126	0	0	NA	1	1
OTU_2	OTU_127	0	0	NA	1	1
OTU_2	OTU_128	0	0	NA	1	1
OTU_2	OTU_129	0	0	NA	1	1
OTU_2	OTU_130	0	0	NA	1	1
OTU_2	OTU_131	0	0	NA	1	1
OTU_2	OTU_132	0	0	NA	1	1
OTU_2	OTU_133	0	0	NA	1	1
OTU_2	OTU_134	0	0	NA	1	1
OTU_2	OTU_135	0	0	NA	1	1
OTU_2	OTU_136	0	0	NA	1	1
OTU_2	OTU_137	0	0	NA	1	1
OTU_2	OTU_138	0	0	NA	1	1
OTU_2	OTU_139	0	0	NA	1	1
OTU_2	OTU_140	0	0	NA	1	1
OTU_2	OTU_141	0	0	NA	1	1
OTU_2	OTU_142	0	0	NA	1	1
OTU_2	OTU_143	0	0	NA	1	1
OTU_2	OTU_144	0	0	NA	1	1
OTU_2	OTU_145	0	0	NA	1	1
OTU_2	OTU_146	0	0	NA	1	1
OTU_2	OTU_147	0	0	NA	1	1
OTU_2	OTU_148	0	0	NA	1	1
OTU_2	OTU_149	0	0	NA	1	1
OTU_2	OTU_150	0	0	NA	1	1
OTU_2	OTU_151	0	0	NA	1	1
OTU_2	OTU_152	0	0	NA	1	1
OTU_2	OTU_153	0	0	NA	1	1
OTU_2	OTU_154	0	0	NA	1	1
OTU_2	OTU_155	0	0	NA	1	1
OTU_2	OTU_156	0	0	NA	1	1
OTU_2	OTU_157	0	0	NA	1	1
OTU_2	OTU_158	0	0	NA	1	1
OTU_2	OTU_159	0	0	NA	1	1
OTU_2	OTU_160	0	0	NA	1	1
OTU_2	OTU_161	0	0	NA	1	1
OTU_2	OTU_162	0	0	NA	1	1
OTU_2	OTU_163	0	0	NA	1	1
OTU_2	OTU_164	0	0	NA	1	1
OTU_2	OTU_165	0	0	NA	1	1
OTU_2	OTU_166	0	0	NA	1	1
OTU_2	OTU_167	0	0	NA	1	1
OTU_2	OTU_168	0	0	NA	1	1
OTU_2	OTU_169	0	0	NA	1	1
OTU_2	OTU_170	0	0	NA	1	1
OTU_2	OTU_171	0	0	NA	1	1
OTU_2	OTU_172	0	0	NA	1	1
OTU_2	OTU_173	0	0	NA	1	1
OTU_2	OTU_174	0	0	NA	1	1
OTU_2	OTU_175	0	0	NA	1	1
OTU_2	OTU_176	0	0	NA	1	1
OTU_2	OTU_177	0	0	NA	1	1
OTU_2	OTU_178	0	0	NA	1	1
OTU_2	OTU_179	0	0	NA	1	1
OTU_2	OTU_180	0	0	NA	1	1
OTU_2	OTU_181	0	0	NA	1	1
OTU_2	OTU_182	0	0	NA	1	1
OTU_2	OTU_183	0	0	NA	1	1
OTU_2	OTU_184	0	0	NA	1	1
OTU_2	OTU_185	0	0	NA	1	1
OTU_2	OTU_186	0	0	NA	1	1
OTU_2	OTU_187	0	0	NA	1	1
OTU_2	OTU_188	0	0	NA	1	1
OTU_2	OTU_189	0	0	NA	1	1
OTU_2	OTU_190	0	0	NA	1	1
OTU_2	OTU_191	0	0	NA	1	1
OTU_2	OTU_192	0	0	NA	1	1
OTU_2	OTU_193	0	0	NA	1	1
OTU_2	OTU_194	0	0	NA	1	1
OTU_2	OTU_195	0	0	NA	1	1
OTU_2	OTU_196	0	0	NA	1	1
OTU_2	OTU_197	0	0	NA	1	1
OTU_2	OTU_198	0	0	NA	1	1
OTU_2	OTU_199	0	0	NA	1	1
OTU_2	OTU_200	0	0	NA	1	1
OTU_2	OTU_201	0	0	NA	1	1
OTU_2	OTU_202	0	0	NA	1	1
OTU_2	OTU_203	0	0	NA	1	1
OTU_2	OTU_204	0	0	NA	1	1
OTU_2	OTU_205	0	0	NA	1	1
OTU_2	OTU_206	0	0	NA	1	1
OTU_2	OTU_207	0	0	NA	1	1
OTU_2	OTU_208	0	0	NA	1	1
OTU_2	OTU_209	0	0	NA	1	1
OTU_2	OTU_210	0	0	NA	1	1
OTU_2	OTU_211	0	0	NA	1	1
OTU_2	OTU_212	0	0	NA	1	1
OTU_2	OTU_213	0	0	NA	1	1
OTU_2	OTU_214	0	0	NA	1	1
OTU_2	OTU_215	0	0	NA	1	1
OTU_2	OTU_216	0	0	NA	1	1
OTU_2	OTU_217	0	0	NA	1	1
OTU_2	OTU_218	0	0	NA	1	1
OTU_2	OTU_219	0	0	NA	1	1
OTU_3	OTU_4	0	0	NA	1	1
OTU_3	OTU_5	0	0	NA	1	1
OTU_3	OTU_6	0	0	NA	1	1
OTU_3	OTU_7	0	0	NA	1	1
OTU_3	OTU_8	0	0	NA	1	1
OTU_3	OTU_9	0	0	NA	1	1
OTU_3	OTU_10	0	0	NA	1	1
OTU_3	OTU_11	0	0	NA	1	1
OTU_3	OTU_12	0	0	NA	1	1
OTU_3	OTU_13	0	0	NA	1	1
