sample,river,zone,site,habitat,Lat,Lon,oxygen,oxygen_sat,temperature,chloride,doc,ammonium,nitrate,phosphate,tp,tn,don,np,benthic_type,afdm,chl,chl_afdm,m,conductivity,time,dry_mass,perc_om
27,Bitterroot,OC,MD,PS,46.6951,-114.0459,2.88,27.7,13.6,1.41,1.351,5.4,16.3,16.7,8.6,78.6,56.9,2.9,FBOM,5.609,102,0.182,972,82.4,0.48,48.85,11.5
29,Bitterroot,OC,MD,OS,46.7007,-114.0493,7.07,85.5,24.9,5.328,3.433,13.7,17.7,25.7,24.7,272,240.7,2.7,FBOM,32.187,225.82,0.07,970,134.6,0.6,45.48,70.8
31,Bitterroot,OC,MD,PN,46.7004,-114.0498,2.43,29.2,24.3,6.931,9.875,25.3,15.7,56.7,163,770.8,729.8,1.6,FBOM,10.2,135.54,0.133,968,52.2,0.58,38.01,26.8
32,Bitterroot,MC,DW,SR,46.7189,-114.0452,8.6,97,21.2,1.602,2.26,2.2,1,8.3,18.1,157.1,153.9,0.8,Epilithon,0.305,2.52,0.083,968,117,0.63,1.02,29.7
33,Bitterroot,MC,DW,RN,46.7208,-114.0453,7.25,80.9,18.8,1.611,1.824,8,12.7,8,5.8,134.3,113.6,5.7,Epilithon,0.415,6.18,0.149,964,117.2,0.5,2.67,15.5
34,Bitterroot,MC,DW,PO,46.7119,-114.0464,8.57,98.2,22,1.708,2.334,1.9,1,8.7,7.4,164.9,162,0.7,,,,,974,118,0.7,,
35,Bitterroot,OC,DW,FC,46.7292,-114.0663,10.66,127.8,24.5,3.891,3.275,4.3,30.3,12.3,16.9,244.1,209.5,6.2,Epilithon,1.267,13.53,0.107,961,85.6,0.77,3.24,39.1
36,Bitterroot,MC,DW,SL,46.7211,-114.0459,7.06,74.6,18,1.771,1.942,1.5,4,7.3,8,113.7,108.2,1.7,Epilithon,1.49,32.5,0.218,956,116.6,0.42,11.27,13.2
38,Bitterroot,OC,DW,BK,46.7189,-114.0455,3.54,39.5,20.1,1.465,2.335,21.2,16,16.7,21.4,176.9,139.7,4.9,FBOM,11.628,72.56,0.062,961,86,0.58,126.16,9.2
40,Bitterroot,OC,DW,PN,46.7202,-114.0461,3.97,46.9,23.2,1.267,9.164,11.6,24.7,20,46.9,493.5,457.3,4,FBOM,17.01,226.03,0.133,965,14.1,0.75,117.81,14.4
41,Bitterroot,OC,DW,PS,46.7139,-114.0495,4.6,52.8,22.6,1.422,2.405,3.3,60,13.3,26.6,309.2,245.9,10.5,Epilithon,0.158,2.87,0.182,967,99,0.72,0.35,15.9
43,Bitterroot,OC,DW,OS,46.7147,-114.0411,3.5,37.2,18.3,1.255,1.311,1.6,51,28.3,17.4,108.1,55.5,4.1,Epilithon,0.098,0.69,0.07,974,101,0.66,0.26,37.9
45,Bitterroot,OC,DW,PN,46.7207,-114.0457,5.01,55.7,20.9,1.218,6.025,1.8,34.3,24.3,65,414.3,378.2,3.3,FBOM,17.91,237.98,0.133,964,106.6,0.54,197.9,9
46,Boulder,MC,UP,SR,46.156,-111.9949,5.86,70.3,16,3.594,3.438,34.2,4.7,54,12,151.8,112.9,1.6,Epilithon,0.582,4.93,0.085,1429,164.5,0.42,1.13,51.3
47,Boulder,MC,UP,RN,46.1568,-111.9978,6,74.8,17.6,3.311,3.767,9.3,2.3,48.7,20.5,339.1,327.5,0.5,Epilithon,4.366,87.57,0.201,1421,163.9,0.48,14.62,29.9
48,Boulder,MC,UP,PO,46.1558,-111.9949,5.88,70.9,16.2,3.218,2.25,10.9,7,50,11.3,125.4,107.5,0.8,,,,,1425,165.6,0.44,,
49,Boulder,OC,UP,OS,46.1583,-112.0012,5.26,71.5,22,3.046,6.035,11.8,2.7,61.7,22.7,297.6,283.2,0.5,,,,,1426,238.8,0.66,,
50,Boulder,MC,UP,SL,46.1648,-112.0116,6.03,80.4,20.8,3.846,2.282,5.1,5.3,43.7,10.9,147.4,137,0.5,Epilithon,0.38,14.54,0.383,1430,150.8,0.56,1.62,23.4
52,Boulder,OC,UP,BK,46.157,-111.9972,5.53,75.8,22.3,2.985,3.056,18.6,2,50.7,17.6,182.9,162.3,0.9,FBOM,19.133,35.7,0.019,1428,172.5,0.67,144.48,13.2
54,Boulder,MC,UP,CZ,46.1674,-112.0153,5.73,76.6,21,3.415,3.227,26.6,5.7,49.3,11,142.9,110.6,1.4,Epilithon,0.149,1.2,0.081,1433,161,0.58,1.26,11.8
56,Boulder,OC,UP,PS,46.1563,-111.9952,2.44,28.1,14,1.997,3.345,32.2,21.3,94.7,63.3,200.9,147.4,1.3,Epilithon,0.953,4.97,0.052,1425,123.1,0.45,3.96,24
58,Boulder,OC,UP,OS,46.1597,-112.0055,1.68,21.2,18,2.208,3.602,37.6,5,44.3,55.5,206.4,163.8,2.1,FBOM,1.602,17.19,0.107,1431,173.7,0.64,6.7,23.9
60,Boulder,OC,UP,PN,46.1623,-112.0066,6.92,90,19.6,3.19,3.641,5.1,1.3,80.3,29.2,225.3,218.8,0.2,FBOM,17.537,91.29,0.052,1432,179.4,0.54,110.05,15.9
61,Boulder,MC,MD,SR,46.1413,-111.9835,6.38,76,16,3.299,3.062,1.8,8.7,46.7,16.4,162.9,152.4,0.5,Epilithon,0.497,3.26,0.066,1412,171.9,0.41,1.11,44.8
